,City,Title,Company,Location,Summary,Salary,URL
281,Seattle,Material Handler/ Warehouse-Morning Shift $15.87 Hr,FedEx Express,"Seattle, WA","The provisions of this article shall apply to any application by any person for a license or employment at any public or private employer, who has previously...",,http://indeed.com/rc/clk?jk=1ed1bd5f36ca1aa5&fccid=5c439b65a0bd045b&vjs=3
282,Seattle,Intellectual Property Strategy and Protection Specialist,BOEING,"Seattle, WA","Technical Bachelor's degree (or higher) - any four year degree or greater in a mathematic, scientific, or information technology field of study....",,http://indeed.com/rc/clk?jk=005ef43e57ca8d01&fccid=edae4285faf6c2f0&vjs=3
283,Seattle,Cabin Service Agent,Delta Air Lines Global Services,"Seattle, WA",Cabin Service Agents may also serve as Liquor Agents responsible for ensuring liquor bottles are sorted and stocked in the aircraft;...,,http://indeed.com/rc/clk?jk=f2eb9cbe2da4cf87&fccid=af0caae05772d1fa&vjs=3
284,Seattle,Game Designer I (NST),Nintendo of America Inc.,"Redmond, WA","Nintendo Software Technology's mission is to design, develop and deliver the very best video games. Undergraduate degree in Game Design, Computer Science or...",,http://indeed.com/rc/clk?jk=638b961f8595b86c&fccid=316a3c39a575da92&vjs=3
285,Seattle,Executive Assistant - Global Workforce Staffing,Amazon.com,"Seattle, WA","The ability to work successfully in a team environment, and building effective working relationships across multiple teams and organizations both internally and...",,http://indeed.com/rc/clk?jk=e8b02d9f7d416fa3&fccid=fe2d21eef233e94a&vjs=3
286,Seattle,Software Developer Intern - Seattle & San Francisco,Redfin,"Seattle, WA","Working toward a degree in computer science (CS), engineering, or other related field. As a Software Developer Intern, you’ll use your technical skills to...",,http://indeed.com/rc/clk?jk=4e6a402f7d2d64ba&fccid=ccaacd9cca9fffe8&vjs=3
287,Seattle,Waitstaff/ Server - Shipboard,American Cruise Lines,"Seattle, WA","If you are someone who is committed to great guest satisfaction in a fast paced, high energy, and fun environment then we would love for you to join our team....",,http://indeed.com/rc/clk?jk=e5229ae1c27ce7ad&fccid=13ab1df0327a097a&vjs=3
288,Seattle,Human Resource Associate,King County,"Seattle, WA","Ensure compliance with standard employment procedures and completion of personnel documents that comply with Federal, State, County, and Municipal code, Federal...",,http://indeed.com/rc/clk?jk=ba27f2885cfc5a29&fccid=632d2a253ffbf4f9&vjs=3
289,Seattle,"Analyst, Paid Search",Performics,"Seattle, WA","Responsible for learning all relevant tools for reporting, analytics and competitive analysis - bid management platforms, Benchtools, Google Trends....",,http://indeed.com/rc/clk?jk=d18ce4552c9387d4&fccid=62b8acfd603881c0&vjs=3
290,Seattle,Help Wanted,Umpqua Bank,"Seattle, WA","Now hiring at 200 Westlake Avenue North #110,...",,http://indeed.com/rc/clk?jk=8139801574f64316&fccid=14771eef3e48e5c2&vjs=3
291,Seattle,"Administrative Specialist B Seattle, WA (KPWHRI)",Kaiser Permanente,"Seattle, WA","Answers telephone inquiries, takes and relays messages and greets visitors. May compose correspondence on own initiative for supervisor's review and some...",,http://indeed.com/rc/clk?jk=7a51e39e57ab4d93&fccid=48ecd526e3aa3225&vjs=3
292,Seattle,Administrative Secretary II,Lake Washington School District,"Redmond, WA 98052",All general administrative support positions are expected to perform common office procedures such as answering phones;...,,http://indeed.com/rc/clk?jk=3f83b3411902cfb4&fccid=ab6ad4f15601391d&vjs=3
293,Seattle,Production Assistant,Amazon.com,"Seattle, WA","The Production Generalist will serve as onsite support to transition the venue between events and support live technical execution of audio, lighting and video....",,http://indeed.com/rc/clk?jk=17b0e80314fa0513&fccid=fe2d21eef233e94a&vjs=3
294,Seattle,IT Infrastructure Operations Technician,Port of Seattle,"Seattle, WA","Coordinate and implement operational tasks related to the ICT Infrastructure (backup, basic patch management, basic software deployments), first level triage of...",,http://indeed.com/rc/clk?jk=f95de52b450ef4df&fccid=6419832ebc7e2aad&vjs=3
295,Seattle,IT Service Desk Tier 1,TurnPoint Technology,"Seattle, WA 98119 (Queen Anne area)","This role will provide Tier 1 technical assistance and support for incoming queries and issues related to computer systems, software, and hardware....",,http://indeed.com/rc/clk?jk=bb0ac18305c9c40f&fccid=2a719db631041379&vjs=3
296,Seattle,Social Media Specialist - Seattle Pacific University,Seattle Pacific University,"Seattle, WA",Leads social media content strategy development and implementation for the Office of University Communications marketing and communication efforts and for...,,http://indeed.com/rc/clk?jk=008f90710d3062ab&fccid=cdac375a0855ac57&vjs=3
297,Seattle,SOCIAL MEDIA STRATEGIST,University of Washington,"Seattle, WA","The Social Media Strategist is the advocate and steward of KUOW’s audience, driving the agenda for how we engage with people via social media channels such as...",,http://indeed.com/rc/clk?jk=c9d862e6bc04f4e9&fccid=142783ac2edbe56b&vjs=3
298,Seattle,Survey Data Analyst,Zillow,"Seattle, WA 98101 (Downtown area)","You have 2+ years of work experience involving survey research, data analysis, or a related field. You have an Undergraduate or Master’s degree in economics,...",,http://indeed.com/rc/clk?jk=7566803e814ba052&fccid=913e1b259c8d65e2&vjs=3
299,Seattle,Portfolio Health Associate,Amazon.com,"Seattle, WA","Improve processes – work with internal teams to understand the systems and variables that affect credit management decisions, and drive improvements in the...",,http://indeed.com/rc/clk?jk=d73fb285e4e2bf68&fccid=fe2d21eef233e94a&vjs=3
